RowID,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,Latitude,Longitude
1,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,PH15 2EB,56.62,3.86
2,Aberlour,3,3,1,0,0,4,3,2,2,3,3,2,AB38 9PJ,57.47,3.23
3,AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2,AB5 5LI,57.35,2.83
4,Ardbeg,4,1,4,4,0,0,2,0,1,1,1,0,PA42 7EA,55.64,6.36
5,Ardmore,2,2,4,1,0,1,1,1,1,2,1,1,AB54 4NH,57.32,2.79
6,ArranIsleOf,2,3,1,1,0,1,1,2,0,1,3,2,KA27 8HJ,55.58,5.2
7,Auchentoshan,0,2,0,0,0,2,1,1,1,2,2,2,G81 4SJ,55.92,4.45
8,Auchroisk,2,3,1,0,0,2,2,2,3,3,3,3,AB55 3XS,57.45,3.06
9,Aultmore,2,2,1,0,0,2,1,1,1,3,2,3,AB55 3QY,57.57,2.96
10,Balblair,2,3,1,0,0,1,2,2,2,2,3,2,IV19 1LB,57.86,4.08
11,Balmenach,2,2,2,0,0,2,2,3,3,3,2,1,PH26 3PF,57.28,3.55
12,Balvenie,2,3,2,0,0,2,2,2,2,3,3,2,AB55 4BB,57.45,3.12
13,BenNevis,3,3,2,0,0,1,2,2,2,3,2,1,PH33 6TJ,56.82,5.12
14,Benriach,2,2,2,1,0,1,1,1,2,2,3,3,IV30 8SJ,57.62,3.35
15,Benrinnes,3,2,2,0,0,1,3,3,2,3,2,1,AB37 9DT,57.39,3.22
16,Benromach,2,2,2,2,0,1,2,2,1,2,2,2,IV36 3EB,57.6,3.61
17,Bladnoch,1,3,1,0,0,2,2,2,1,2,3,3,DG8 9AB,54.83,4.5
18,BlairAthol,3,2,1,0,0,2,3,3,2,3,1,1,PH16 5LY,56.71,3.82
19,Bowmore,3,2,4,3,0,2,2,1,1,2,2,1,PA43 7GS,55.76,6.29
20,Braeval,1,2,2,0,0,2,1,2,1,3,2,2,AB37 9JS,57.26,3.24
21,Bruichladdich,1,2,1,0,0,2,1,1,2,2,3,3,PA49 7UN,55.76,6.36
22,Bunnahabhain,1,2,1,0,0,1,1,2,2,3,2,2,PA46 7RP,55.89,6.13
23,Caol Ila,3,1,4,3,0,1,2,0,1,1,2,0,PA46 7RL,55.89,6.13
24,Cardhu,2,3,1,0,0,2,2,2,2,3,3,2,AB38 7RY,57.44,3.27
25,Clynelish,2,3,2,0,0,2,2,2,2,2,3,3,KW9 6LR,57.92,3.97
26,Cragganmore,2,3,1,0,0,2,2,3,2,3,3,3,AB37 9AB,57.3,3.38
27,Craigellachie,2,2,2,0,0,1,2,2,2,3,2,2,AB38 9ST,57.47,3.24
28,Dailuaine,3,2,2,0,0,2,3,3,3,3,2,1,AB38 7RE,57.43,3.29
29,Dalmore,4,3,1,0,0,2,3,4,3,2,3,1,IV17 0UT,57.67,4.23
30,Dalwhinnie,1,3,2,0,0,3,1,1,2,2,3,3,PH19 1AB,56.94,4.24
31,Deanston,2,3,1,0,0,2,2,2,2,3,2,2,FK16 6AG,56.18,4.06
32,Dufftown,2,2,2,0,0,1,2,2,2,3,2,2,AB55 4BR,57.44,3.12
33,Edradour,3,3,2,0,0,2,3,3,2,2,2,1,PH16 5JP,56.71,3.83
34,GlenDeveronMacduff,2,2,2,0,0,2,2,2,2,2,3,2,AB44 2HT,57.66,2.46
35,GlenElgin,2,3,1,0,0,2,2,2,2,3,3,3,IV30 8SL,57.62,3.35
36,GlenGarioch,2,2,2,1,0,1,2,2,2,3,2,2,AB51 0ES,57.26,2.34
37,GlenGrant,1,3,1,0,0,2,1,1,2,2,3,3,AB38 7BS,57.51,3.2
38,GlenKeith,2,2,1,0,0,2,2,2,2,3,2,3,AB55 3BU,57.49,2.99
39,GlenMoray,1,3,1,0,0,2,1,1,2,3,3,3,IV30 1YE,57.65,3.34
40,GlenOrd,3,3,1,0,0,2,2,2,2,3,3,2,IV6 7UH,57.52,4.43
41,GlenScotia,2,2,3,2,0,0,2,2,2,2,2,1,PA28 6RD,55.43,5.61
42,GlenSpey,1,3,1,0,0,2,2,1,2,3,3,2,AB38 7AU,57.48,3.23
43,Glenallachie,2,2,2,0,0,2,2,3,3,3,2,1,AB38 9LR,57.46,3.22
44,Glenburgie,1,3,1,0,0,2,1,1,2,3,3,3,IV30 8SJ,57.62,3.35
45,Glendronach,3,3,2,0,0,2,3,4,3,2,3,1,AB54 6DB,57.35,2.58
46,Glendullan,2,3,1,0,0,2,2,2,2,3,3,3,AB55 4DJ,57.44,3.14
47,Glenfarclas,3,3,2,0,0,2,3,4,3,3,3,2,AB37 9BD,57.29,3.28
48,Glenfiddich,1,3,1,0,0,2,1,1,1,2,3,3,AB55 4DH,57.45,3.13
49,Glengoyne,1,3,2,0,0,2,1,2,2,2,3,3,G63 9LB,55.99,4.3
50,Glenkinchie,1,3,1,0,0,2,2,1,1,2,3,3,EH36 5ER,55.87,2.96
51,Glenlivet,1,3,2,0,0,2,1,1,1,2,3,3,AB37 9DB,57.31,3.37
52,Glenlochy,2,2,2,0,0,1,2,2,2,3,2,2,PH33 6TJ,56.82,5.12
53,Glenlossie,1,3,1,0,0,2,2,1,2,3,3,3,IV30 8SS,57.63,3.35
54,Glenmorangie,1,3,1,0,0,3,1,1,2,2,3,3,IV19 1PZ,57.86,4.08
55,Glenrothes,2,3,1,0,0,2,2,3,2,3,3,2,AB38 7AA,57.5,3.2
56,Glentauchers,2,2,2,0,0,1,2,1,2,3,2,3,AB55 3YL,57.49,2.96
57,Glenturret,3,3,1,0,0,2,3,3,3,3,3,2,PH7 4HA,56.36,3.78
58,Highland Park,3,2,3,1,0,2,2,3,2,2,2,1,KW15 1SP,58.98,2.97
59,Inchgower,2,2,2,0,0,1,2,2,2,3,2,2,AB56 5AB,57.62,2.87
60,Jura,2,2,3,0,0,1,2,2,2,2,2,2,PA60 7XT,55.85,5.9
61,Knochando,1,3,1,0,0,2,2,1,2,3,3,3,AB38 7RB,57.45,3.28
62,Lagavulin,4,1,4,4,1,0,2,2,1,1,1,0,PA42 7DZ,55.63,6.12
63,Laphroaig,4,1,4,4,0,0,2,0,0,1,1,0,PA43 7DU,55.64,6.15
64,Linkwood,1,3,1,0,0,2,2,1,2,3,3,3,IV30 8RD,57.63,3.34
65,Littlemill,1,3,1,0,0,2,1,2,2,2,2,3,G60 5BG,55.96,4.49
66,Loch Lomond,2,3,3,1,0,1,2,2,2,2,2,1,G83 0TL,56.08,4.59
67,Longmorn,2,3,1,0,0,2,2,2,2,3,3,2,IV30 8RJ,57.63,3.33
68,Macallan,3,3,1,0,0,2,3,4,3,3,3,2,AB38 9RX,57.48,3.21
69,Mannochmore,1,3,1,0,0,2,2,1,2,3,3,3,IV30 8SS,57.63,3.35
70,Miltonduff,1,3,1,0,0,2,2,1,2,3,3,3,IV30 8TQ,57.63,3.37
71,Mortlach,3,2,2,0,0,2,3,3,3,3,2,1,AB55 4AQ,57.44,3.12
72,Oban,2,2,3,1,0,1,2,2,1,2,2,2,PA34 5NH,56.41,5.47
73,OldFettercairn,2,2,2,1,0,1,2,2,2,2,2,2,AB30 1YB,56.86,2.53
74,OldPulteney,2,2,2,1,0,1,2,1,2,3,2,2,KW1 5BA,58.43,3.09
75,RoyalBrackla,2,3,1,0,0,2,2,2,2,3,3,2,IV12 5QY,57.51,3.97
76,RoyalLochnagar,3,3,2,0,0,2,3,3,2,3,3,2,AB35 5TB,57.04,3.14
77,Scapa,2,2,2,1,0,2,1,1,2,2,3,2,KW15 1SE,58.97,2.97
78,Speyburn,1,3,1,0,0,2,1,2,2,3,3,3,IV12 5SL,57.51,3.44
79,Speyside,1,3,1,0,0,2,2,2,2,3,3,3,PH21 1NS,57.07,3.77
80,Springbank,2,2,3,2,0,1,2,2,2,2,2,1,PA28 6ET,55.43,5.61
81,Strathisla,3,3,1,0,0,2,3,3,3,3,3,2,AB55 3BS,57.49,2.99
82,Strathmill,2,2,1,0,0,2,2,1,2,3,2,3,AB55 3DQ,57.48,3.0
83,Talisker,3,1,4,2,0,1,3,1,1,2,1,1,IV47 8SR,57.3,6.35
84,Tamdhu,2,3,2,0,0,2,2,3,2,3,2,2,AB38 7RY,57.44,3.27
85,Tamnavulin,1,3,1,0,0,2,1,2,2,3,3,3,AB37 9JA,57.26,3.37
86,Teaninich,1,2,2,1,0,1,2,1,2,3,2,2,IV17 0XB,57.68,4.22
87,Tobermory,2,2,2,0,0,1,2,2,2,2,3,2,PA75 6NR,56.62,6.07
88,Tomatin,2,3,1,0,0,2,2,2,2,3,3,2,IV13 7YT,57.35,4.0
89,Tomintoul,1,3,1,0,0,2,1,2,2,3,3,3,AB37 9AQ,57.26,3.37
90,Tormore,2,2,1,0,0,2,2,1,2,3,2,3,AB37 9AG,57.28,3.33
91,Tullibardine,2,3,2,0,0,2,2,2,2,3,2,2,PH4 1QG,56.32,3.73